"Construct","uM.x","mBU_corrected","uM.y","mBU_predicted"
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000112332403297803,0.00220381509059758
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000126185688306602,0.00247553294322135
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00014174741629268,0.00278049673196668
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000159228279334109,0.00312281813156701
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000178864952905744,0.00350745064514802
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000200923300256505,0.00393939034155511
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000225701971963392,0.00442443809330352
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000253536449397011,0.0049691015211663
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00028480358684358,0.00558071104775393
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000319926713779738,0.00626739457970756
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000359381366380463,0.00703835565298124
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000403701725859655,0.00790388160298671
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000453487850812858,0.00887550085925306
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000509413801481638,0.00996612876659769
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000572236765935022,0.0111902295215591
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000642807311728432,0.0125639957339293
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000722080901838546,0.0141055124543494
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000811130830789687,0.0158351208964693
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.000911162756115489,0.0177754369789816
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00102353102189903,0.019951769818775
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00114975699539774,0.0223923416931329
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00129154966501488,0.0251287349751123
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00145082877849594,0.0281960512699455
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00162975083462064,0.0316334047625191
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00183073828029537,0.0354842957688999
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00205651230834865,0.0397970398552216
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00231012970008316,0.0446252217704097
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00259502421139974,0.0500281703809688
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00291505306282518,0.0560714487305183
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00327454916287773,0.0628273506936983
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00367837977182863,0.0703753923289858
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00413201240011533,0.0788027818187422
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00464158883361278,0.088204846667651
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00521400828799968,0.0986853904602435
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00585702081805667,0.110356943813738
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00657933224657568,0.123340865098114
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00739072203352578,0.137767235996146
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.00830217568131974,0.153774485131096
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0093260334688322,0.171508660420982
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0104761575278967,0.191122255774565
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.01176811952435,0.212772488569167
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0132194114846603,0.236618909555435
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0148496826225447,0.262820223734039
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0166810053720006,0.291530201988003
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0187381742286038,0.322892331535586
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0210490414451202,0.357034541045901
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0236448941264541,0.394060638403436
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0265608778294669,0.434042798895988
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0298364724028334,0.477012252116475
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0335160265093884,0.522949707996753
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0376493580679247,0.571775899287021
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.042292428743895,0.623343014209888
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.047508101621028,0.677427981719031
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0533669923120631,0.733728691320709
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0599484250318941,0.791864210410613
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0673415065775082,0.851379927740072
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0756463327554629,0.911758055266878
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0849753435908644,0.9724332841905
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.0954548456661834,1.03281283196132
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.107226722201032,1.0922992921026
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.120450354025878,1.15031410565749
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.135304777457981,1.20631931721113
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.151991108295293,1.2598356498912
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.170735264747069,1.31045531819222
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.191791026167249,1.3578489207403
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.215443469003188,1.40176645706124
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.242012826479438,1.44203331979194
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.271858824273294,1.47854249903782
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.305385550883342,1.51124424404533
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.343046928631492,1.54013476911143
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.385352859371053,1.56524443871838
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.432876128108306,1.58662728028526
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.486260158006535,1.60435128076095
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.546227721768434,1.61849025494217
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.613590727341317,1.62911751432752
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.689261210434969,1.63630090361037
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.774263682681127,1.64009939584863
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.869749002617783,1.64056104086206
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,0.977009957299225,1.63772214632576
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,1.09749876549306,1.63160752085554
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,1.23284673944207,1.62223176496744
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,1.38488637139387,1.60960141473421
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,1.55567614393047,1.59371798987422
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,1.74752840000768,1.57458168820246
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,1.96304065004027,1.55219580737517
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,2.20513073990305,1.52657160777203
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,2.47707635599171,1.49773368202645
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,2.78255940220713,1.46572540848825
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,3.12571584968824,1.43061440378674
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,3.51119173421513,1.39249767039849
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,3.94420605943766,1.35150607111667
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,4.43062145758388,1.30780788299411
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,4.97702356433211,1.26161099678217
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,5.59081018251222,1.21316355303064
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,6.28029144183425,1.16275275373046
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,7.05480231071865,1.11070172732651
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,7.92482898353917,1.05736436429825
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,8.90215085445039,1.00311864640726
"VHL_R69Q SMARCA2_WT",0.004,0.0890820400848629,10,0.948358111840435
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,1e-04,0.00196203981573758
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000112332403297803,0.00220381509059758
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000126185688306602,0.00247553294322135
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00014174741629268,0.00278049673196668
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000159228279334109,0.00312281813156701
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000178864952905744,0.00350745064514802
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000200923300256505,0.00393939034155511
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000225701971963392,0.00442443809330352
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000253536449397011,0.0049691015211663
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00028480358684358,0.00558071104775393
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000319926713779738,0.00626739457970756
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000359381366380463,0.00703835565298124
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000403701725859655,0.00790388160298671
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000453487850812858,0.00887550085925306
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000509413801481638,0.00996612876659769
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000572236765935022,0.0111902295215591
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000642807311728432,0.0125639957339293
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000722080901838546,0.0141055124543494
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000811130830789687,0.0158351208964693
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.000911162756115489,0.0177754369789816
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00102353102189903,0.019951769818775
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00114975699539774,0.0223923416931329
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00129154966501488,0.0251287349751123
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00145082877849594,0.0281960512699455
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00162975083462064,0.0316334047625191
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00183073828029537,0.0354842957688999
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00205651230834865,0.0397970398552216
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00231012970008316,0.0446252217704097
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00259502421139974,0.0500281703809688
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00291505306282518,0.0560714487305183
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00327454916287773,0.0628273506936983
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00367837977182863,0.0703753923289858
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00413201240011533,0.0788027818187422
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00464158883361278,0.088204846667651
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00521400828799968,0.0986853904602435
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00585702081805667,0.110356943813738
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00657933224657568,0.123340865098114
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00739072203352578,0.137767235996146
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.00830217568131974,0.153774485131096
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0093260334688322,0.171508660420982
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0104761575278967,0.191122255774565
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.01176811952435,0.212772488569167
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0132194114846603,0.236618909555435
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0148496826225447,0.262820223734039
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0166810053720006,0.291530201988003
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0187381742286038,0.322892331535586
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0210490414451202,0.357034541045901
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0236448941264541,0.394060638403436
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0265608778294669,0.434042798895988
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0298364724028334,0.477012252116475
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0335160265093884,0.522949707996753
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0376493580679247,0.571775899287021
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.042292428743895,0.623343014209888
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.047508101621028,0.677427981719031
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0533669923120631,0.733728691320709
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0599484250318941,0.791864210410613
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0673415065775082,0.851379927740072
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0756463327554629,0.911758055266878
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0849753435908644,0.9724332841905
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.0954548456661834,1.03281283196132
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.107226722201032,1.0922992921026
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.120450354025878,1.15031410565749
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.135304777457981,1.20631931721113
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.151991108295293,1.2598356498912
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.170735264747069,1.31045531819222
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.191791026167249,1.3578489207403
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.215443469003188,1.40176645706124
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.242012826479438,1.44203331979194
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.271858824273294,1.47854249903782
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.305385550883342,1.51124424404533
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.343046928631492,1.54013476911143
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.385352859371053,1.56524443871838
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.432876128108306,1.58662728028526
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.486260158006535,1.60435128076095
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.546227721768434,1.61849025494217
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.613590727341317,1.62911751432752
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.689261210434969,1.63630090361037
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.774263682681127,1.64009939584863
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.869749002617783,1.64056104086206
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,0.977009957299225,1.63772214632576
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,1.09749876549306,1.63160752085554
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,1.23284673944207,1.62223176496744
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,1.38488637139387,1.60960141473421
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,1.55567614393047,1.59371798987422
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,1.74752840000768,1.57458168820246
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,1.96304065004027,1.55219580737517
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,2.20513073990305,1.52657160777203
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,2.47707635599171,1.49773368202645
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,2.78255940220713,1.46572540848825
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,3.12571584968824,1.43061440378674
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,3.51119173421513,1.39249767039849
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,3.94420605943766,1.35150607111667
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,4.43062145758388,1.30780788299411
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,4.97702356433211,1.26161099678217
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,5.59081018251222,1.21316355303064
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,6.28029144183425,1.16275275373046
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,7.05480231071865,1.11070172732651
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,7.92482898353917,1.05736436429825
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,8.90215085445039,1.00311864640726
"VHL_R69Q SMARCA2_WT",0.02,0.730164460577747,10,0.948358111840435
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,1e-04,0.00196203981573758
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000112332403297803,0.00220381509059758
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000126185688306602,0.00247553294322135
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00014174741629268,0.00278049673196668
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000159228279334109,0.00312281813156701
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000178864952905744,0.00350745064514802
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000200923300256505,0.00393939034155511
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000225701971963392,0.00442443809330352
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000253536449397011,0.0049691015211663
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00028480358684358,0.00558071104775393
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000319926713779738,0.00626739457970756
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000359381366380463,0.00703835565298124
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000403701725859655,0.00790388160298671
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000453487850812858,0.00887550085925306
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000509413801481638,0.00996612876659769
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000572236765935022,0.0111902295215591
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000642807311728432,0.0125639957339293
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000722080901838546,0.0141055124543494
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000811130830789687,0.0158351208964693
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.000911162756115489,0.0177754369789816
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00102353102189903,0.019951769818775
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00114975699539774,0.0223923416931329
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00129154966501488,0.0251287349751123
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00145082877849594,0.0281960512699455
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00162975083462064,0.0316334047625191
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00183073828029537,0.0354842957688999
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00205651230834865,0.0397970398552216
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00231012970008316,0.0446252217704097
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00259502421139974,0.0500281703809688
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00291505306282518,0.0560714487305183
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00327454916287773,0.0628273506936983
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00367837977182863,0.0703753923289858
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00413201240011533,0.0788027818187422
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00464158883361278,0.088204846667651
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00521400828799968,0.0986853904602435
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00585702081805667,0.110356943813738
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00657933224657568,0.123340865098114
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00739072203352578,0.137767235996146
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.00830217568131974,0.153774485131096
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0093260334688322,0.171508660420982
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0104761575278967,0.191122255774565
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.01176811952435,0.212772488569167
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0132194114846603,0.236618909555435
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0148496826225447,0.262820223734039
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0166810053720006,0.291530201988003
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0187381742286038,0.322892331535586
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0210490414451202,0.357034541045901
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0236448941264541,0.394060638403436
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0265608778294669,0.434042798895988
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0298364724028334,0.477012252116475
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0335160265093884,0.522949707996753
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0376493580679247,0.571775899287021
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.042292428743895,0.623343014209888
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.047508101621028,0.677427981719031
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0533669923120631,0.733728691320709
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0599484250318941,0.791864210410613
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0673415065775082,0.851379927740072
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0756463327554629,0.911758055266878
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0849753435908644,0.9724332841905
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.0954548456661834,1.03281283196132
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.107226722201032,1.0922992921026
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.120450354025878,1.15031410565749
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.135304777457981,1.20631931721113
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.151991108295293,1.2598356498912
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.170735264747069,1.31045531819222
"VHL_R69Q SMARCA2_WT",0.1,1.10703305701059,0.191791026167249,1.3578489207403
